route,allday,ampeak,pmpeak
12,122,23,21
124,61,12,11
125,75,7,7
13,298,46,47
21,222,50,42
29,178,47,36
30,59,10,11
31,97,20,20
40,153,34,32
42,236,37,31
44,129,23,26
49,117,24,24
62,10,5,5
64,126,31,23
78,4,0,0
9,137,29,28
LUCYGO,66,26,10
LUCYGR,56,18,12
