Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
4221,1863203,1894,223,213,601,1466,1969
4222,1828516,1868,211,211,580,1441,1932
4223,1784804,1809,207,203,563,1398,1883
4224,1803472,1815,211,205,575,1421,1898
4225,1797898,1822,208,205,571,1418,1897
4226,1800626,1792,212,205,566,1411,1885
4227,1819621,1839,211,211,579,1439,1911
4228,1777533,1787,206,201,569,1392,1868
4229,1774109,1786,201,203,563,1400,1864
4230,1741090,1744,201,197,555,1370,1833
4231,1887662,1916,224,215,615,1479,1995
4232,1861643,1885,222,212,601,1464,1966
4233,1831467,1831,218,210,580,1438,1925
4234,1845351,1847,221,210,590,1445,1942
4235,1811327,1833,209,201,571,1417,1899
4236,1787880,1826,207,201,569,1407,1886
4237,1834413,1900,206,213,577,1438,1918
4238,1792534,1905,206,200,559,1412,1899
4239,1771748,1801,198,193,559,1395,1860
4240,1803423,1884,205,202,567,1422,1902
4241,1793208,1928,207,206,548,1415,1903
4242,1737808,1764,195,184,542,1361,1826
4243,1900641,2028,220,219,584,1487,1995
4244,1758565,1795,200,190,550,1376,1844
4245,1743634,1791,200,191,544,1361,1835
4246,1804842,1917,208,208,558,1421,1906
4247,1806835,1847,207,206,573,1429,1899
4248,1834167,1905,208,214,578,1440,1925
4249,1810827,1889,207,205,572,1425,1909
4250,1773171,1862,201,194,540,1391,1870
4251,1845071,1950,212,211,577,1461,1942
4252,1845447,1841,219,210,596,1458,1940
4253,1899972,1938,231,229,632,1539,2024
4254,1888149,1895,222,215,615,1487,1986
4255,1890041,1928,232,224,635,1538,2025
4256,1856506,1848,219,212,603,1462,1944
4257,1869212,1864,221,214,608,1476,1961
4258,1949914,1974,237,232,653,1565,2062
4259,1849884,1842,219,210,598,1461,1943
4401,1765695,1749,204,200,567,1382,1834
4402,1765411,1756,206,200,566,1380,1839
4403,1768097,1768,199,194,556,1390,1843
4404,1768142,1764,200,195,567,1386,1837
4405,1758305,1744,208,204,562,1387,1840
4406,1774569,1757,210,205,579,1402,1852
4407,1740462,1723,203,200,558,1373,1819
4408,1846966,1839,218,211,604,1453,1926
4409,1840992,1830,217,209,601,1459,1926
4410,1743346,1732,205,201,558,1369,1826
4411,1757954,1740,205,202,559,1379,1837
4412,1860208,1850,219,212,613,1465,1938
4413,1848682,1849,217,210,605,1456,1929
4414,1839972,1831,216,212,590,1445,1907
4415,1884586,1897,220,222,614,1486,1957
4416,1737810,1726,206,199,560,1378,1838
4417,1795507,1784,213,207,578,1407,1883
4418,1786342,1775,212,207,575,1406,1874
4419,1825564,1822,210,208,594,1423,1892
4420,1862699,1864,216,217,608,1456,1937
4421,1862105,1908,213,218,609,1454,1937
4422,1843602,1887,210,212,596,1435,1915
4423,1849668,1855,211,213,608,1447,1913
4424,2008943,2054,233,237,677,1586,2070
4425,1815596,1800,216,209,587,1424,1891
4426,1784562,1773,212,206,576,1406,1871
4427,1830833,1808,216,208,593,1438,1900
4428,1758173,1766,201,201,564,1389,1841
4429,1732202,1735,198,191,556,1366,1815
4430,1792058,1774,206,202,579,1402,1856
4431,1754285,1752,195,189,557,1364,1824
4432,1809272,1841,200,203,582,1397,1878
4433,1872395,1885,218,221,611,1482,1949
4434,1801651,1850,204,203,577,1403,1880
4435,1908118,1930,223,219,629,1497,1993
4436,1855162,1922,214,211,599,1439,1930
4437,1872026,1873,216,217,619,1465,1939
4438,1818499,1913,211,208,576,1424,1913
4439,1901304,1916,221,223,621,1498,1976
4440,1881679,1935,215,220,616,1464,1946
4441,1839355,1916,213,214,574,1431,1920
4442,1900021,1896,220,222,622,1489,1959
4443,1902793,1908,220,222,625,1491,1964
4444,1900322,1962,215,221,621,1475,1965
4445,1934109,1990,225,230,633,1504,1989
4446,1895515,1963,216,218,604,1464,1955
4447,1887538,1885,219,222,615,1488,1951
4448,1930394,1953,221,224,647,1508,1987
4449,1966195,2061,229,228,623,1514,2029
4450,1941313,1975,222,233,644,1515,1994
4451,1951087,2013,222,229,642,1508,2004
4452,1948728,2006,221,224,622,1498,1986
4453,1981455,2016,230,232,667,1560,2044
4454,1965151,2016,231,234,659,1537,2024
4455,1954528,2015,222,227,629,1521,2000
4456,1984641,2047,231,237,663,1552,2035
4457,2023481,2082,229,242,653,1561,2057
4458,1982281,2063,231,229,640,1529,2030
4459,2004061,2072,235,240,669,1564,2055
4460,2021552,2095,234,237,653,1560,2061
4461,1988102,2039,227,237,641,1526,2018
4462,1856472,1859,217,216,609,1469,1948
4463,1885298,1892,220,218,617,1489,1979
4464,1851228,1870,217,216,598,1466,1940
4465,1871732,1871,218,216,617,1466,1953
4466,1879823,1880,219,218,620,1485,1964
4467,1901136,1902,222,217,627,1497,1984
4601,1093272,1195,131,116,289,845,1261
4602,877297,1129,114,110,262,764,1155
4603,1311337,1383,153,133,355,991,1429
4604,690190,925,92,91,204,599,923
4605,669988,906,93,90,202,567,903
4606,701017,947,97,95,206,585,939
4607,787462,1038,105,100,227,660,1030
4608,781389,1061,108,103,229,645,1035
4609,1332175,1416,154,139,376,968,1438
4610,1337943,1415,152,141,372,939,1427
4611,751437,996,104,99,225,650,1009
4612,792418,1035,106,109,239,700,1063
4613,1187734,1308,142,128,325,887,1348
4614,806189,1054,107,104,242,693,1060
4615,1213360,1305,141,129,331,901,1350
4616,913430,1180,119,122,284,782,1180
4617,1027506,1273,130,126,307,838,1256
4618,1008881,1273,123,129,304,822,1246
4619,1255305,1371,143,136,362,907,1385
4620,1000326,1236,125,124,306,802,1221
4621,883905,1177,113,113,265,725,1127
4622,885185,1168,115,114,274,718,1118
4623,1047497,1311,127,134,331,826,1266
4624,986494,1263,120,125,307,764,1195
4801,1395065,1528,163,149,418,996,1533
4802,1408037,1499,163,156,432,1019,1508
4803,1380610,1560,159,150,425,1012,1539
4804,1551499,1741,185,175,486,1186,1699
4805,1778841,1914,204,196,545,1401,1913
4806,1750267,1897,200,193,526,1388,1897
4807,1777016,1934,207,198,539,1411,1923
4808,1752564,1902,201,193,527,1390,1898
4809,1773938,1935,208,201,539,1406,1922
4810,1585301,1643,184,167,455,1226,1685
4811,1513431,1568,176,155,435,1163,1599
4812,1638963,1729,193,173,481,1290,1758
4813,1504997,1633,179,158,437,1164,1649
4814,1626261,1763,192,173,493,1298,1781
4815,1312987,1407,148,144,376,917,1418
4816,1464572,1582,172,153,431,1120,1597
4817,1629097,1761,192,175,493,1295,1784
4818,1468215,1587,175,154,443,1124,1601
4819,1770220,1807,203,199,554,1391,1865
4820,1676620,1689,193,173,511,1286,1750
4821,1773902,1819,203,193,553,1401,1866
4822,1775894,1837,202,196,556,1403,1872
4823,1791626,1909,210,200,554,1417,1904
4824,1701362,1799,192,182,505,1352,1826
4825,1765425,1893,203,194,534,1393,1893
4826,1876857,2008,218,220,597,1486,1991
4827,1707151,1774,197,180,516,1338,1807
4828,1713840,1812,194,182,514,1366,1844
4829,1736214,1870,198,189,520,1382,1877
4830,1689998,1830,199,187,506,1338,1837
4831,1818797,1971,212,210,551,1437,1948
4832,1695115,1871,201,187,516,1343,1852
4833,1692218,1859,201,187,516,1339,1847
5001,1918128,2040,226,225,604,1491,2013
5002,1936361,2061,231,228,607,1498,2030
5003,2015651,2121,238,237,646,1550,2081
5004,1970550,2131,235,237,633,1541,2082
5005,2016444,2119,238,236,648,1552,2073
5006,2043812,2149,240,240,658,1575,2100
5007,1998213,2098,233,234,640,1532,2051
5008,2060595,2166,243,246,669,1588,2116
5009,2068361,2157,246,242,669,1582,2108
5010,2008416,2177,239,241,663,1562,2116
5011,2063942,2190,244,246,681,1602,2125
5012,2105430,2281,249,252,707,1629,2188
5013,2089041,2226,245,252,696,1620,2160
5014,2144098,2276,261,256,707,1645,2196
5015,2109987,2235,254,252,694,1624,2164
5016,2105235,2269,249,254,699,1634,2187
5017,2155984,2309,263,258,717,1660,2225
5018,2174066,2457,261,267,736,1695,2311
5019,2144694,2296,259,255,716,1647,2213
5020,2141899,2350,255,259,728,1662,2241
5021,2182087,2381,262,262,737,1685,2263
5022,2200141,2449,266,266,744,1710,2307
5023,1758705,1887,205,203,537,1383,1866
5024,1933961,2109,228,229,606,1514,2057
5025,1844334,1991,219,215,578,1432,1955
5026,1741798,1911,211,201,557,1361,1864
5027,1941716,2133,230,233,636,1530,2072
5028,1919763,2076,228,229,629,1501,2026
5029,1769658,1954,214,205,566,1381,1903
5030,1896114,2089,228,225,623,1493,2031
5031,1976774,2185,236,233,643,1548,2109
5032,1945295,2166,235,232,640,1522,2090
5033,2027114,2238,244,244,679,1584,2162
5034,1988620,2231,240,238,664,1562,2139
5035,1736651,1956,204,195,547,1340,1880
5036,1776537,1986,214,205,564,1374,1915
5037,1827809,2047,221,217,594,1446,1983
5038,1829064,2074,219,216,610,1425,1994
5039,1960694,2201,236,234,651,1540,2120
5040,1987640,2266,241,242,673,1545,2167
5041,1812779,2039,219,219,601,1398,1973
5042,1910795,2143,231,231,640,1476,2069
5043,2125159,2440,261,265,729,1661,2298
5044,2199791,2540,276,274,750,1728,2360
5045,2092047,2428,257,261,720,1636,2285
5046,2199833,2548,278,274,749,1726,2367
5047,2250273,2608,276,277,766,1770,2411
5048,2140835,2507,271,268,734,1679,2332
5049,2240478,2660,282,279,767,1770,2446
5050,2256209,2640,282,280,764,1779,2444
5051,1993545,2285,248,245,695,1554,2186
5052,2241826,2662,282,279,767,1772,2449
5053,2171002,2559,275,273,740,1714,2378
5054,2085253,2441,261,259,722,1627,2292
5055,2209010,2618,278,276,752,1740,2418
5056,2172669,2568,275,274,740,1715,2383
5057,2188878,2577,275,273,752,1734,2383
5058,2050027,2393,254,255,714,1602,2252
5059,2129155,2508,271,266,734,1670,2342
5060,2064134,2413,256,255,718,1614,2270
5061,2193724,2590,276,274,745,1723,2395
6001,332282,507,49,46,108,291,507
6002,445757,656,60,62,136,377,651
6003,409319,608,57,56,127,341,591
6004,456813,676,63,63,142,384,660
6005,432052,645,58,58,132,367,626
6006,597435,817,79,80,184,487,814
6007,413720,614,56,58,127,348,601
6008,415328,618,56,58,127,347,601
6009,246961,393,34,34,77,210,422
6010,251798,401,35,31,78,211,417
6011,272434,433,37,36,87,233,448
6012,287385,446,42,38,90,243,451
6013,326855,501,50,45,107,276,496
6014,320236,504,48,42,100,271,493
6015,332220,523,50,47,109,283,511
6016,356173,547,53,49,115,311,536
6201,288659,457,41,39,90,245,452
6202,104305,211,16,17,33,100,250
6203,152682,274,20,23,54,138,304
6204,191328,328,22,27,65,164,346
6205,129522,237,16,20,41,118,278
6206,182479,318,24,26,64,171,353
6207,214496,358,30,30,73,176,365
6208,233677,378,31,30,76,186,383
6209,235399,394,34,31,78,190,396
6210,249602,415,39,35,85,207,411
6211,296683,471,44,40,96,248,464
6212,258582,423,41,36,86,214,419
6213,282198,460,42,37,95,239,449
6214,290662,470,43,38,93,246,453
6215,252826,419,38,34,81,206,410
6216,292318,471,43,38,90,242,451
6217,104848,212,16,16,39,99,252
6218,139627,252,19,21,53,127,280
6219,155058,277,21,23,54,144,306
6220,189343,337,22,27,67,159,340
6221,206198,357,30,29,72,169,360
6222,221421,371,31,29,73,180,370
6223,220295,372,31,29,72,178,369
6224,245509,408,35,33,85,201,405
6401,74575,162,11,13,30,67,203
6402,79469,172,12,15,32,73,209
6403,91680,191,15,16,33,82,229
6404,82234,172,12,15,32,76,208
6405,114203,230,16,16,45,114,257
6406,71348,156,11,13,26,63,197
6407,82056,171,13,15,31,76,219
6408,90750,190,14,16,36,83,223
6409,126971,253,18,17,49,124,277
6410,144351,269,20,21,54,132,290
6411,104370,225,16,16,37,104,246
6412,111422,225,16,16,43,109,255
6413,102732,211,16,16,36,98,246
6414,159687,295,21,23,63,148,310
6415,201943,349,29,27,69,173,343
6416,161948,307,22,24,59,144,314
6417,125515,266,18,19,44,119,276
6418,58544,126,10,10,20,53,161
6419,83091,174,13,15,32,76,212
