Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
608,510713,267,42,29,130,327,417
609,42189,59,6,5,16,64,70
610,453591,204,31,23,105,250,324
611,276914,125,20,12,58,143,201
612,565085,329,50,35,155,395,507
613,442439,196,32,23,95,233,310
614,510646,252,41,28,133,321,408
615,228182,128,19,11,57,143,186
616,564442,333,50,36,158,393,508
617,276953,148,20,15,70,161,221
618,342233,153,24,15,75,180,245
619,485846,227,35,29,125,285,366
620,580180,351,52,41,171,414,531
621,442722,195,34,24,101,238,316
622,559631,328,50,37,167,385,491
623,159620,130,15,12,57,142,176
624,235787,170,21,23,75,188,237
625,560982,331,50,37,167,387,496
626,320839,204,31,26,98,218,283
627,552798,309,47,38,159,378,471
628,513974,268,39,31,137,301,412
629,471185,234,35,27,119,264,359
630,364062,233,35,29,112,238,323
801,384532,143,25,13,73,147,239
802,435512,177,31,17,89,187,288
803,458697,200,32,19,95,205,320
804,519983,282,43,25,127,297,421
805,547154,317,48,27,141,338,464
806,447720,194,31,18,90,209,306
807,500477,254,39,23,117,274,383
808,481677,223,37,21,106,242,355
809,444823,187,34,17,91,197,296
810,555346,324,48,27,142,353,480
811,543517,309,47,27,138,334,460
812,445525,187,33,17,90,200,299
813,467636,210,35,19,102,221,334
814,502974,267,40,25,122,265,396
815,470200,210,35,19,103,235,342
816,484107,226,38,20,110,241,358
817,545174,313,47,27,139,343,465
818,471675,207,37,19,106,236,347
819,576288,333,53,30,153,372,502
820,508259,261,42,23,121,284,397
821,509527,266,38,23,121,277,405
822,594916,347,56,32,157,394,530
823,468261,212,36,19,100,233,336
824,473219,213,39,18,107,239,340
825,470658,227,38,23,99,227,349
826,466293,202,36,18,104,231,332
827,489217,226,42,21,112,254,366
828,507659,267,39,25,123,285,407
829,544912,301,49,29,140,345,455
830,505652,252,37,26,122,263,389
831,608408,379,60,38,162,419,567
832,493145,237,41,21,114,272,378
833,466596,216,37,19,107,244,343
834,610056,387,63,39,161,435,577
835,489459,233,41,22,117,270,376
836,532808,294,48,26,136,336,450
837,473697,250,40,27,101,248,371
838,544504,304,48,30,138,331,458
839,576436,330,50,31,148,379,507
840,513270,260,40,27,127,286,407
841,485772,250,39,30,115,271,388
842,515695,270,45,23,128,299,417
843,482792,279,44,32,114,271,410
844,575167,339,55,31,148,383,532
845,623149,402,64,43,168,454,607
846,551672,325,53,27,135,361,490
847,583287,357,59,35,163,391,532
848,507660,280,42,32,127,284,412
849,518514,305,49,35,132,304,446
1001,516334,302,42,35,127,290,434
1002,479399,285,43,36,115,275,414
