TAZ,TAZT,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU
18825,18825,1677,2,0,0,2,2
18826,18826,1347,6,0,0,0,2
19003,19003,6312,2,0,1,2,0
20062,20062,305,2,0,1,0,2
20077,20077,739,2,0,0,1,2
20083,20083,293,0,0,0,0,1
20013,20013,4518,0,1,1,2,0
20024,20024,257,1,0,0,0,1
20043,20043,398,1,0,0,0,1
18002,18002,1495,1,0,1,2,1
18031,18031,3802,2,0,0,2,1
18037,18037,1141,3,1,0,0,0
18040,18040,1129,3,0,0,1,2
18233,18233,778,2,0,1,0,0
18242,18242,3181,6,0,0,2,3
20624,20624,767,1,0,0,0,2
20809,20809,82,2,0,0,0,1
22052,22052,680,1,0,0,0,3
22066,22066,655,2,0,0,0,1
22205,22205,407,1,0,0,0,1
22221,22221,1574,2,0,1,0,2
22222,22222,5334,1,0,1,0,1
22225,22225,1474,3,0,1,0,0
22240,22240,244,2,1,0,0,1
22402,22402,864,4,0,1,0,0
20822,20822,135,1,0,0,0,1
22003,22003,817,1,0,0,0,2
22015,22015,649,3,0,0,0,3
22018,22018,560,1,1,0,1,0
22028,22028,608,2,0,0,1,1
22030,22030,727,1,0,0,1,2
22040,22040,623,2,0,0,0,2
20248,20248,4177,1,0,0,2,3
20257,20257,546,1,0,0,1,2
20417,20417,821,2,0,0,0,2
20439,20439,1741,2,0,0,1,2
22609,22609,900,1,0,0,0,1
22611,22611,341,1,0,0,0,1
22617,22617,1039,2,0,0,0,2
22806,22806,4139,2,1,0,0,0
22807,22807,2043,1,0,1,0,2
22814,22814,1219,1,1,0,0,3
22817,22817,1017,2,1,0,1,0
22825,22825,210,1,0,0,0,1
24813,24813,426,1,0,1,1,0
25011,25011,912,1,0,0,0,3
25025,25025,2010,2,0,0,0,2
6,6,950,1,0,0,0,1
11,11,1328,1,0,0,0,1
28,28,762,1,0,0,0,1
29,29,276,1,0,0,0,1
44,44,3998,0,0,0,1,0
59,59,5973,0,1,0,0,2
113,113,2063,0,0,0,2,0
116,116,3839,0,0,0,0,1
121,121,1137,1,0,0,0,1
24026,24026,1022,1,1,1,0,1
24216,24216,1002,1,0,1,0,1
24220,24220,2152,1,0,0,0,3
24222,24222,1315,1,0,0,0,2
24418,24418,596,2,0,0,0,1
24420,24420,265,2,0,0,0,2
24612,24612,349,4,1,0,0,1
22417,22417,1269,3,0,0,1,5
22420,22420,724,2,0,1,0,1
22425,22425,530,2,0,0,0,1
22434,22434,355,3,0,0,0,1
2642,2642,763,0,0,0,1,3
2646,2646,699,1,0,0,1,1
2802,2802,426,0,0,0,0,1
3016,3016,554,0,0,0,1,0
3022,3022,298,0,0,0,0,1
3203,3203,1012,3,0,0,1,1
3214,3214,1095,2,0,1,1,0
3403,3403,549,0,0,0,0,2
3412,3412,4406,0,0,1,0,4
3413,3413,818,0,0,0,1,0
3620,3620,4418,1,0,2,1,2
128,128,1299,1,0,1,1,2
134,134,5350,1,1,0,0,0
401,401,1201,1,0,0,2,3
404,404,1685,0,1,0,1,2
616,616,741,1,0,1,0,5
629,629,693,1,0,0,0,1
805,805,425,1,0,0,0,1
810,810,1773,0,1,0,0,2
814,814,1125,1,0,1,0,3
1006,1006,181,0,0,0,0,1
1029,1029,342,0,0,0,0,1
1033,1033,333,0,0,0,0,1
1202,1202,153,1,0,0,0,2
1210,1210,342,0,0,0,0,4
1219,1219,320,1,0,0,0,1
1230,1230,803,1,0,0,0,1
1233,1233,1377,0,0,1,0,2
1419,1419,632,0,1,0,0,4
1432,1432,727,0,0,0,0,2
1435,1435,1040,1,0,0,1,1
1444,1444,632,1,0,0,0,2
1607,1607,442,0,0,0,0,1
1608,1608,108,1,0,0,0,1
2006,2006,1083,1,0,1,0,2
2021,2021,766,2,0,0,0,1
2205,2205,550,1,0,0,1,0
2207,2207,343,0,0,0,0,1
2210,2210,614,5,0,0,0,1
2405,2405,300,1,0,1,0,1
2424,2424,675,0,1,0,1,3
2606,2606,459,0,0,0,0,1
2610,2610,203,2,0,0,0,1
2617,2617,1308,1,0,0,0,3
2622,2622,405,0,0,0,1,3
2624,2624,202,1,0,0,1,0
4408,4408,280,1,0,0,0,1
4445,4445,432,2,1,1,0,1
4454,4454,1511,0,1,0,1,1
4460,4460,1348,2,0,0,0,1
4463,4463,162,1,0,0,1,0
4614,4614,802,2,0,1,0,0
4804,4804,1659,2,0,1,1,0
4805,4805,1288,1,2,0,0,1
4813,4813,458,3,0,0,0,1
6216,6216,152,1,0,0,1,0
6617,6617,158,1,0,0,0,1
6804,6804,183,0,0,0,0,1
4831,4831,1004,1,0,0,1,2
4833,4833,543,1,1,0,0,1
5026,5026,502,1,0,0,1,0
5042,5042,620,1,1,0,0,0
5045,5045,539,1,0,0,0,3
5053,5053,511,1,0,1,0,0
6015,6015,965,0,0,0,0,1
3622,3622,183,0,1,0,2,1
4007,4007,754,1,0,0,0,1
4008,4008,346,1,0,0,0,2
4024,4024,261,1,0,0,0,1
4040,4040,1269,2,0,0,0,1
4046,4046,422,1,0,0,0,1
4052,4052,1521,0,0,1,0,2
4219,4219,1007,2,0,1,1,1
4222,4222,460,1,0,0,1,1
4227,4227,218,0,1,0,0,0
4236,4236,266,1,0,1,1,0
7234,7234,216,1,0,0,0,1
7236,7236,489,2,0,0,0,2
7412,7412,177,1,0,0,1,1
7413,7413,1089,2,1,0,0,1
7429,7429,755,1,0,1,0,2
7602,7602,788,1,0,0,1,0
7805,7805,168,1,0,0,0,2
7812,7812,658,0,0,0,0,1
7818,7818,435,1,0,0,0,1
7824,7824,302,1,0,0,1,0
8005,8005,898,1,1,0,2,2
8209,8209,1967,2,0,1,0,0
8211,8211,559,2,1,0,0,0
8216,8216,553,1,0,0,0,1
8414,8414,289,0,0,0,0,1
10004,10004,450,1,0,0,0,1
10005,10005,3240,1,0,0,4,2
10039,10039,1128,1,1,0,0,1
10402,10402,3790,3,1,3,3,3
7016,7016,499,1,0,1,1,1
7042,7042,304,1,0,0,0,1
7208,7208,633,1,0,0,0,1
7212,7212,920,1,0,0,0,1
7214,7214,823,1,0,0,0,1
7218,7218,286,0,0,0,0,1
7226,7226,3530,1,1,0,0,4
7228,7228,431,3,0,0,2,0
11010,11010,361,1,0,0,1,0
11011,11011,772,1,0,0,1,1
11022,11022,1450,1,0,1,2,1
11031,11031,424,1,0,0,1,1
11040,11040,1625,2,0,0,0,1
11207,11207,605,2,0,1,0,1
11402,11402,1216,2,0,0,1,0
11407,11407,182,1,0,0,0,1
11815,11815,1156,3,0,0,0,1
12001,12001,1734,1,1,0,0,2
12019,12019,1793,1,0,0,1,0
12020,12020,2295,0,0,0,1,1
12034,12034,1316,1,0,0,0,1
12212,12212,460,1,0,0,0,1
12215,12215,640,1,0,1,0,3
12240,12240,625,3,0,0,0,2
12246,12246,1354,0,2,0,0,1
12252,12252,800,2,0,0,3,4
11409,11409,392,1,0,0,0,2
11412,11412,795,7,0,1,0,1
11416,11416,2277,9,2,0,1,1
