TAZ,TAZT,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU
14612,14612,267,1,0,0,0,1
14621,14621,2080,1,1,1,1,2
14806,14806,1498,1,0,0,1,1
14811,14811,2538,1,0,1,2,3
14812,14812,1918,3,0,0,0,3
15203,15203,515,3,0,0,0,2
15213,15213,201,1,0,0,0,1
15224,15224,2156,1,1,1,0,1
24230,24230,349,0,0,0,0,1
24408,24408,1811,1,0,0,4,1
24614,24614,1963,2,0,0,0,3
24615,24615,744,1,0,0,1,1
24818,24818,660,1,1,0,0,0
25003,25003,185,1,0,0,0,1
8411,8411,431,2,0,0,0,1
10007,10007,2154,1,0,1,0,3
10009,10009,1078,1,0,1,0,0
10013,10013,2843,0,0,1,0,0
10028,10028,812,1,0,1,1,2
10029,10029,667,1,0,0,0,2
10211,10211,4521,2,0,1,0,0
10217,10217,7066,1,0,0,0,1
10223,10223,4683,1,0,0,1,1
4223,4223,733,3,0,0,0,4
4229,4229,76,0,0,0,0,1
4234,4234,404,1,0,0,0,1
4241,4241,1344,2,1,0,1,1
4407,4407,375,1,0,0,0,4
4415,4415,552,1,0,0,0,2
4442,4442,541,2,0,0,0,1
4447,4447,230,3,1,1,0,0
4453,4453,1099,1,0,0,0,1
15245,15245,377,1,0,0,1,0
15247,15247,502,1,0,0,0,2
15401,15401,167,1,0,0,0,1
15407,15407,620,1,0,0,0,1
15612,15612,1248,2,0,0,5,1
15613,15613,109,2,0,0,1,0
15815,15815,592,1,0,0,1,0
16004,16004,251,1,0,0,0,1
16012,16012,1333,1,0,0,0,4
4,4,1508,0,0,0,0,2
5,5,710,1,0,0,0,1
46,46,1849,0,0,0,0,1
53,53,3799,0,0,0,0,3
81,81,3593,0,0,0,0,1
85,85,1598,2,0,0,0,1
94,94,5733,0,1,0,0,0
133,133,1955,1,0,0,1,2
137,137,1532,0,1,0,1,5
418,418,743,1,0,0,0,3
419,419,1118,0,0,0,0,1
420,420,274,0,0,0,1,2
421,421,393,1,0,0,1,3
605,605,91,2,1,0,1,0
606,606,633,1,0,0,0,1
623,623,1557,0,0,2,0,0
10404,10404,342,2,0,0,2,1
10405,10405,1333,1,0,0,1,0
10413,10413,973,1,0,1,0,0
10418,10418,561,2,0,0,0,1
10434,10434,3001,4,0,1,0,1
10601,10601,1246,0,0,2,2,3
10606,10606,2411,0,0,0,0,1
10626,10626,296,1,0,0,0,1
10804,10804,622,3,0,0,0,2
4807,4807,2073,1,0,1,1,1
4809,4809,1928,1,2,0,1,1
4827,4827,213,1,0,0,0,1
16014,16014,1618,1,0,1,0,1
16021,16021,482,1,0,1,0,0
16048,16048,1640,3,0,0,0,1
16206,16206,1684,4,0,0,0,2
18006,18006,2700,2,1,0,1,1
18008,18008,2897,1,0,1,0,1
18210,18210,805,2,0,0,0,2
18212,18212,361,3,0,0,0,1
18217,18217,2656,0,0,1,0,0
822,822,881,0,0,0,1,1
832,832,301,1,0,0,2,1
1003,1003,570,0,0,0,1,1
1013,1013,559,0,0,1,0,1
1026,1026,4393,0,0,0,2,1
1027,1027,1157,1,0,0,0,1
1039,1039,342,0,0,0,0,1
1209,1209,467,0,0,0,0,1
1211,1211,328,0,0,0,1,0
1217,1217,306,1,1,0,0,3
1229,1229,808,1,0,0,0,5
1232,1232,127,0,0,0,0,2
1234,1234,255,1,0,0,0,1
1415,1415,8411,0,0,0,2,0
1420,1420,1144,2,0,0,0,1
1426,1426,356,0,1,0,0,1
1430,1430,394,1,0,0,1,2
1433,1433,3774,0,0,0,1,4
1440,1440,248,1,0,0,0,1
1619,1619,510,1,0,0,0,2
11002,11002,1253,1,0,1,0,1
11008,11008,555,1,0,0,1,0
11023,11023,710,2,0,0,1,1
11024,11024,386,0,0,0,1,3
11028,11028,616,1,1,0,0,0
11405,11405,1429,8,2,0,1,2
4832,4832,481,1,0,0,0,3
5008,5008,789,2,1,0,0,1
5011,5011,541,1,0,0,0,2
5018,5018,862,2,0,0,1,2
5039,5039,2153,2,1,0,1,1
6008,6008,2929,1,0,0,3,0
18224,18224,1361,1,0,0,0,1
18225,18225,1812,2,0,0,0,3
18227,18227,1656,0,0,0,5,1
18230,18230,300,1,0,0,0,1
18237,18237,1138,3,0,0,0,2
18408,18408,394,1,1,0,0,1
18414,18414,2069,2,1,0,0,0
18606,18606,3824,1,2,0,0,1
2212,2212,617,0,0,0,0,1
2215,2215,1687,0,0,0,1,1
2425,2425,694,1,0,0,0,3
2426,2426,632,0,0,0,1,1
2429,2429,349,2,0,0,0,1
2435,2435,748,2,0,0,1,1
2439,2439,232,1,0,0,1,1
2609,2609,534,1,1,0,0,1
2614,2614,640,2,0,1,1,1
2616,2616,597,0,0,0,0,1
2620,2620,1158,1,0,0,0,3
2630,2630,237,0,0,0,0,1
2644,2644,191,0,1,0,0,0
2803,2803,387,0,0,0,1,1
2807,2807,1738,0,0,2,0,2
2823,2823,539,1,0,0,0,2
2825,2825,404,1,0,0,1,0
3026,3026,689,1,0,0,1,2
3030,3030,520,1,0,0,0,2
3033,3033,839,1,1,0,0,1
3205,3205,805,1,0,0,0,1
11419,11419,1012,4,0,0,0,2
11615,11615,749,1,0,0,1,1
11616,11616,219,1,0,0,0,2
11632,11632,2192,1,0,1,1,1
11634,11634,454,3,0,0,0,1
11637,11637,954,1,0,0,0,1
11638,11638,591,1,0,1,0,1
11648,11648,1999,2,0,1,1,1
7002,7002,228,1,0,0,1,1
7018,7018,845,1,0,1,0,0
7026,7026,1960,2,0,0,4,2
7038,7038,2553,2,1,0,1,0
18613,18613,704,3,0,0,0,2
18615,18615,1179,1,0,0,0,1
18801,18801,3045,1,1,1,0,2
19002,19002,135,1,0,0,0,1
3215,3215,613,1,0,0,2,0
3607,3607,286,1,0,0,0,1
3613,3613,1677,0,0,0,0,1
4005,4005,1390,1,0,0,0,2
4006,4006,1014,2,0,1,0,1
4009,4009,1117,2,1,2,0,0
4032,4032,1161,1,0,0,0,3
4044,4044,591,1,1,0,0,1
11801,11801,1407,3,0,0,2,1
11814,11814,543,1,0,0,2,1
11818,11818,1621,1,0,0,1,0
11819,11819,812,1,0,0,0,1
11820,11820,290,3,0,0,0,1
11827,11827,851,2,0,0,1,2
11839,11839,1597,2,0,0,0,1
11843,11843,352,1,0,0,0,3
12011,12011,534,1,0,0,1,1
12023,12023,609,1,0,0,0,1
12030,12030,860,1,0,1,0,0
7048,7048,429,2,0,0,0,2
7050,7050,3225,2,1,0,0,0
7054,7054,341,1,0,0,0,2
7209,7209,2420,2,0,1,0,1
7232,7232,385,1,0,0,0,1
7403,7403,763,1,0,1,0,2
7408,7408,567,1,0,0,2,2
7418,7418,181,1,0,0,0,1
7428,7428,329,2,0,0,0,1
20035,20035,880,1,1,0,0,0
20090,20090,1242,1,0,0,3,1
4050,4050,1302,1,0,0,0,1
4203,4203,1169,2,0,1,0,0
4224,4224,1876,1,0,2,1,0
4237,4237,1492,1,1,0,1,0
4238,4238,2615,1,1,2,0,2
4402,4402,359,1,0,0,0,1
4430,4430,192,1,0,1,0,0
4437,4437,395,1,0,1,0,0
4446,4446,352,0,0,0,0,1
4601,4601,346,1,0,0,0,1
4806,4806,1209,1,0,0,1,0
12036,12036,2644,2,0,1,1,1
12203,12203,871,2,0,1,2,1
12227,12227,487,2,1,1,1,1
12232,12232,232,0,0,0,1,0
12237,12237,1400,2,0,0,2,2
12251,12251,707,2,0,0,1,2
12408,12408,1947,2,0,1,0,2
12409,12409,4594,3,0,1,0,1
12417,12417,2500,2,0,0,0,1
10003,10003,1290,1,0,1,0,1
10011,10011,1526,1,0,0,0,1
10016,10016,1555,1,0,1,0,4
10019,10019,866,1,0,0,0,2
10221,10221,2038,4,0,1,0,4
10431,10431,1170,1,0,0,2,0
10433,10433,796,2,0,1,0,2
10449,10449,929,3,0,0,1,1
10806,10806,607,1,0,0,0,4
20233,20233,636,1,0,0,0,1
20264,20264,366,1,1,0,0,0
20267,20267,1068,1,0,0,0,1
20268,20268,483,1,0,0,0,4
2628,2628,461,1,0,0,1,1
2633,2633,639,0,0,0,2,0
2801,2801,364,0,0,0,1,1
2805,2805,693,0,0,0,1,2
2810,2810,1049,0,0,1,2,0
2817,2817,56,4,0,0,0,1
3007,3007,182,1,0,0,0,1
3015,3015,511,1,0,0,0,1
3206,3206,1255,2,0,0,0,1
3404,3404,1432,0,0,0,4,1
3420,3420,827,1,0,0,0,2
3423,3423,936,1,0,1,1,1
3621,3621,2594,1,0,0,0,2
4048,4048,955,1,0,0,0,1
12017,12017,986,2,1,1,0,1
12026,12026,777,1,0,0,1,2
12028,12028,1916,1,0,0,2,0
12204,12204,639,1,0,0,1,2
12217,12217,842,1,0,0,1,1
12220,12220,416,1,0,0,0,1
12412,12412,1378,1,0,0,0,1
12424,12424,1487,4,0,0,0,2
12428,12428,2976,2,0,0,0,1
14008,14008,262,1,1,0,0,1
14013,14013,381,1,0,0,2,0
14206,14206,590,1,0,0,0,2
14437,14437,770,1,0,0,6,1
14620,14620,1768,2,1,1,1,1
14631,14631,1140,2,0,0,1,1
14636,14636,733,1,0,0,2,0
14809,14809,778,1,0,0,0,2
15207,15207,817,2,0,1,0,2
15210,15210,736,2,0,0,1,1
15211,15211,544,1,0,0,0,2
15229,15229,1175,0,0,0,2,2
15230,15230,569,1,0,0,1,0
15241,15241,347,1,0,0,0,1
15405,15405,2275,2,0,0,1,0
15604,15604,425,1,0,0,2,0
15627,15627,3026,1,0,0,0,5
15632,15632,1175,1,0,1,1,3
15633,15633,1055,1,1,0,0,1
15812,15812,152,1,0,1,0,0
15813,15813,615,2,0,0,0,1
15822,15822,1460,1,0,1,0,1
16009,16009,819,1,1,0,1,1
16023,16023,1384,1,0,0,1,1
16036,16036,388,2,0,0,0,3
16210,16210,1407,3,1,0,0,1
16216,16216,1309,1,0,0,0,1
18028,18028,476,3,0,0,0,1
18030,18030,714,2,0,0,1,1
18034,18034,559,2,0,0,0,1
18208,18208,256,1,0,0,0,1
18223,18223,2765,2,0,0,2,0
18609,18609,2620,0,1,0,0,2
18611,18611,2043,1,1,0,0,2
18612,18612,815,1,0,0,0,1
18632,18632,2010,2,1,0,0,0
18802,18802,460,0,1,0,0,1
18810,18810,1326,5,1,0,0,1
18811,18811,257,2,1,0,0,1
18815,18815,230,3,0,0,0,1
18831,18831,653,5,0,0,1,1
20002,20002,373,1,0,0,0,1
20016,20016,730,1,0,0,0,1
20057,20057,111,1,0,0,0,1
20084,20084,590,1,1,0,0,1
20086,20086,213,2,0,0,0,1
20226,20226,454,1,0,0,1,1
20276,20276,1998,1,0,0,0,1
20421,20421,207,1,0,0,0,1
20641,20641,1448,1,0,1,1,3
20819,20819,703,1,0,0,0,3
22031,22031,584,3,0,0,0,1
22204,22204,1073,1,0,1,0,1
22206,22206,1179,2,0,0,1,1
22216,22216,1780,2,0,0,1,2
22217,22217,2563,5,0,0,2,2
22223,22223,2756,0,0,0,4,1
22228,22228,1903,1,0,0,1,3
22230,22230,558,1,0,0,0,1
22232,22232,2500,1,0,0,1,1
22403,22403,1058,2,0,0,0,1
22423,22423,386,2,0,0,0,1
22428,22428,430,2,0,0,0,2
22429,22429,1735,2,0,1,0,1
22436,22436,419,1,0,0,0,1
22444,22444,943,2,0,0,1,3
22445,22445,5513,2,1,1,1,2
22815,22815,555,2,0,0,0,1
22823,22823,809,1,0,0,0,1
24030,24030,1907,0,0,0,1,1
24039,24039,2733,1,1,0,3,1
24421,24421,889,2,0,0,0,1
24603,24603,562,1,0,1,0,1
24607,24607,1420,2,0,1,0,1
24610,24610,2032,0,0,0,0,1
24810,24810,278,2,0,0,0,2
24814,24814,680,0,0,0,0,2
25004,25004,309,2,0,0,1,1
25010,25010,127,1,0,0,0,1
25022,25022,707,1,0,0,1,0
426,426,1563,1,0,0,0,3
428,428,397,1,0,0,1,0
429,429,870,1,0,0,0,1
433,433,151,0,0,0,0,2
604,604,343,0,0,0,0,1
608,608,627,1,0,0,1,2
614,614,508,1,0,0,0,1
618,618,1211,1,0,0,0,2
624,624,941,2,0,0,0,2
625,625,809,0,1,0,1,1
808,808,620,1,0,1,1,3
1002,1002,269,2,0,0,2,0
1030,1030,19489,0,0,0,1,1
1222,1222,668,1,0,0,2,6
1235,1235,160,1,0,1,0,1
1237,1237,386,1,0,0,1,3
1606,1606,229,1,0,0,0,1
1626,1626,625,1,0,0,0,1
24202,24202,267,1,0,0,1,0
24405,24405,907,2,0,0,0,1
24406,24406,1793,2,1,0,0,0
25026,25026,1298,2,0,0,0,2
25029,25029,362,1,0,0,0,1
7,7,868,0,2,0,0,3
18,18,220,1,1,0,0,0
36,36,3567,0,0,0,0,1
58,58,3739,0,0,0,1,0
109,109,964,0,0,0,0,1
142,142,287,0,0,0,0,1
402,402,2835,1,0,0,0,3
403,403,1193,1,0,0,3,2
411,411,789,0,0,0,1,2
415,415,504,0,0,0,0,1
38,38,1934,0,0,0,2,0
63,63,1262,2,2,0,1,1
69,69,1116,0,1,0,0,1
110,110,248,0,1,0,0,0
125,125,1738,1,0,0,1,0
135,135,869,1,0,0,0,1
432,432,486,1,0,0,0,2
804,804,264,1,0,0,0,2
818,818,297,0,0,0,0,1
823,823,1553,1,0,2,0,0
824,824,330,1,0,0,0,1
831,831,539,1,0,0,1,1
834,834,1664,1,1,1,0,1
838,838,364,1,0,0,0,1
849,849,612,2,0,1,0,0
1007,1007,773,1,0,0,1,1
1031,1031,2364,0,0,1,1,0
1204,1204,221,3,0,0,0,1
11017,11017,818,1,0,0,0,1
11030,11030,280,1,0,0,0,2
11033,11033,349,1,0,0,0,1
11042,11042,33,0,0,1,0,0
11204,11204,325,2,0,0,0,1
11206,11206,1501,2,0,1,1,1
20282,20282,780,1,0,0,0,1
20419,20419,3092,2,0,0,1,0
20432,20432,355,1,0,0,0,3
20617,20617,1537,1,0,0,0,1
4207,4207,843,1,1,0,0,0
4213,4213,301,1,0,0,1,0
4226,4226,1663,1,0,1,0,0
4232,4232,132,1,0,0,0,2
4233,4233,1735,1,0,0,2,0
4414,4414,2587,1,1,0,2,1
4429,4429,1573,1,0,2,1,3
4451,4451,2688,2,0,0,2,1
4467,4467,308,0,0,0,0,1
4602,4602,1000,1,0,0,1,0
4607,4607,1681,2,2,1,4,2
4610,4610,857,2,1,0,0,0
4620,4620,886,2,0,0,2,0
1402,1402,646,0,0,0,1,1
1405,1405,477,1,0,0,0,2
1408,1408,1355,1,0,1,1,1
1410,1410,346,0,0,0,0,1
1416,1416,1681,1,1,0,0,3
1418,1418,1049,1,1,0,0,1
1605,1605,1547,1,1,0,0,0
1613,1613,114,0,0,0,0,1
1623,1623,231,0,0,1,0,0
2018,2018,843,1,0,0,0,2
2020,2020,487,1,0,0,0,2
2408,2408,272,1,0,0,0,1
11401,11401,2482,2,0,0,0,1
11428,11428,762,3,0,0,0,1
11614,11614,1618,2,1,0,0,0
11617,11617,326,1,0,0,0,2
11812,11812,1173,1,0,1,0,1
11816,11816,2012,1,0,0,0,2
11826,11826,1960,1,2,0,3,0
4808,4808,4586,1,2,0,1,0
4819,4819,453,1,0,0,0,2
4823,4823,78,0,0,0,0,1
5003,5003,1078,2,0,2,1,0
5006,5006,1015,2,0,0,0,2
5009,5009,456,1,1,0,0,0
5019,5019,432,0,1,0,0,0
5023,5023,1329,1,0,0,1,1
5029,5029,761,1,0,0,0,2
2416,2416,518,0,2,0,0,0
2607,2607,325,0,0,0,0,1
2615,2615,4193,1,1,0,4,0
2645,2645,299,0,0,0,0,1
2818,2818,5143,1,0,0,2,0
3012,3012,192,1,0,1,0,0
3020,3020,365,2,1,0,0,1
3032,3032,473,3,0,0,1,0
3212,3212,660,1,1,1,0,0
3217,3217,505,1,0,1,0,1
3220,3220,791,3,0,0,1,1
3221,3221,632,1,0,1,0,1
11835,11835,1237,1,2,2,1,0
11837,11837,1939,3,0,0,1,1
12002,12002,1257,1,0,0,3,1
12006,12006,234,1,0,0,1,0
12214,12214,947,1,0,0,1,0
12216,12216,5013,1,0,0,1,2
12226,12226,2467,1,0,1,1,0
12239,12239,1782,2,0,0,3,1
12249,12249,777,2,1,0,5,1
22019,22019,6296,1,0,0,2,1
22022,22022,606,3,0,0,1,1
5033,5033,922,2,0,0,2,0
5034,5034,636,2,0,0,2,1
5050,5050,2315,0,1,0,0,0
5052,5052,382,0,0,0,0,1
5055,5055,1618,1,0,0,2,1
5057,5057,53,1,0,0,0,1
6010,6010,222,1,0,0,0,1
6210,6210,555,0,0,1,0,2
6221,6221,870,0,0,1,0,0
3415,3415,4507,1,2,0,3,1
3601,3601,1420,1,0,2,0,2
3602,3602,429,1,0,0,1,1
3626,3626,853,1,0,0,0,2
4001,4001,442,1,0,0,1,1
4012,4012,338,1,0,1,0,0
4019,4019,202,1,0,0,0,1
4021,4021,2633,2,0,0,0,1
4022,4022,327,1,0,0,1,2
4208,4208,434,1,0,0,1,0
12253,12253,435,1,0,0,0,1
12254,12254,657,2,0,2,1,0
12414,12414,892,1,0,0,1,2
12416,12416,257,1,0,0,1,0
12423,12423,241,1,0,0,1,1
14012,14012,497,1,0,0,1,3
14014,14014,781,1,0,1,0,0
14023,14023,1314,2,0,2,1,2
22024,22024,2500,0,0,0,1,0
22048,22048,2193,0,0,0,1,2
22059,22059,95,0,0,0,0,1
22060,22060,1661,1,0,0,0,2
22067,22067,4517,0,1,0,0,0
22207,22207,243,1,0,0,0,1
22226,22226,10077,2,0,0,0,1
22231,22231,5175,0,0,0,1,3
22238,22238,308,0,0,0,0,1
22244,22244,1955,3,0,0,0,2
22408,22408,699,2,0,0,0,1
22411,22411,761,2,1,1,0,1
6403,6403,249,1,0,0,0,5
4209,4209,156,1,0,0,0,1
4210,4210,386,1,0,0,0,1
4214,4214,641,0,0,0,0,2
4221,4221,607,0,0,0,0,1
4243,4243,1825,1,1,1,0,3
4250,4250,904,2,0,0,0,1
4257,4257,4123,1,0,0,0,2
4421,4421,538,1,0,0,0,2
4431,4431,372,1,0,0,0,1
4432,4432,320,1,0,0,0,1
4433,4433,859,1,0,1,0,0
4441,4441,2185,1,0,1,4,2
4449,4449,441,0,0,0,0,1
14202,14202,101,2,0,0,0,1
14406,14406,293,3,0,0,0,1
14412,14412,346,3,0,0,1,0
14425,14425,597,4,0,1,0,0
14613,14613,2346,2,0,0,0,1
14625,14625,1777,1,0,1,0,1
22441,22441,784,3,0,0,1,0
22614,22614,1332,0,0,0,2,1
22615,22615,2603,2,0,0,0,3
22639,22639,454,2,0,0,1,2
7005,7005,563,1,0,1,0,1
7027,7027,1557,0,0,0,0,3
7033,7033,1001,1,0,1,0,0
7039,7039,5473,0,1,0,0,2
7045,7045,4665,2,0,0,1,3
7059,7059,1862,1,0,1,0,1
4450,4450,836,1,0,1,0,1
4457,4457,822,2,1,1,1,1
4458,4458,467,2,0,0,0,1
4613,4613,392,3,0,0,0,1
4812,4812,1201,1,0,0,0,1
4818,4818,147,2,0,0,1,0
4826,4826,1675,3,0,1,2,0
5010,5010,798,2,0,1,0,2
14813,14813,1109,2,1,1,0,0
15216,15216,1179,1,0,0,1,1
15221,15221,388,3,0,0,1,0
15226,15226,979,2,0,0,1,1
15237,15237,3373,0,0,0,0,2
22804,22804,1597,2,0,0,0,2
22819,22819,337,1,0,0,1,1
22832,22832,368,0,0,0,1,1
22836,22836,775,1,0,0,0,2
7210,7210,1762,3,1,0,0,1
7219,7219,740,2,0,0,0,2
7229,7229,194,2,0,0,0,1
7237,7237,1370,3,0,0,0,7
7406,7406,1514,1,0,0,1,0
7407,7407,666,1,0,0,1,0
5031,5031,1839,1,0,0,0,2
5036,5036,2396,1,0,0,0,2
5054,5054,455,1,0,0,0,1
6003,6003,648,1,0,0,1,0
6011,6011,618,0,0,0,0,2
6207,6207,583,1,0,0,0,2
6404,6404,479,1,0,0,0,1
15406,15406,2477,2,0,1,0,4
15408,15408,247,2,0,0,1,0
15605,15605,2261,1,0,0,1,0
15807,15807,282,2,0,0,0,2
15811,15811,301,0,0,1,1,0
15820,15820,1246,1,0,0,1,3
15827,15827,869,2,0,0,0,1
16027,16027,649,1,0,0,1,3
24014,24014,287,1,1,0,1,0
24015,24015,170,1,1,0,0,0
24021,24021,450,1,0,0,0,2
24023,24023,540,1,0,0,0,1
7604,7604,650,0,0,0,0,1
7809,7809,2092,3,0,1,1,2
7826,7826,293,1,0,0,0,2
8021,8021,3367,2,0,1,0,0
6607,6607,1955,1,0,1,0,0
16208,16208,485,1,0,0,0,1
16211,16211,3069,1,0,0,2,0
16217,16217,593,1,0,0,0,2
18003,18003,613,1,0,0,0,2
18020,18020,1199,2,0,0,0,1
18021,18021,4288,1,0,0,1,1
18023,18023,2332,2,0,0,1,1
24038,24038,2595,1,0,0,1,2
24041,24041,1964,1,0,1,0,2
24404,24404,490,2,0,0,0,1
24409,24409,904,2,0,1,0,2
24416,24416,280,2,0,0,0,2
24609,24609,927,1,0,1,1,0
24812,24812,219,2,0,0,0,1
24815,24815,316,0,0,0,0,1
8208,8208,1455,2,0,0,0,2
8423,8423,532,1,0,0,0,2
8428,8428,1054,3,0,0,0,3
8438,8438,144,1,2,0,0,0
10014,10014,3370,0,0,0,3,0
10018,10018,790,1,0,0,0,2
6813,6813,88,1,0,0,0,1
7004,7004,465,1,0,0,0,1
7009,7009,1528,1,1,0,0,0
7013,7013,4730,1,0,0,0,1
7014,7014,558,1,0,0,1,2
7019,7019,275,1,0,0,1,0
7021,7021,3482,1,1,0,0,2
7035,7035,2520,1,0,0,2,1
18211,18211,429,1,0,1,0,2
18605,18605,1361,0,0,0,0,1
18614,18614,4040,1,0,0,0,1
18623,18623,578,2,0,0,0,2
18630,18630,167,4,0,0,0,1
18812,18812,386,0,0,0,0,2
24822,24822,1524,1,0,0,0,1
25015,25015,298,1,1,0,0,0
25027,25027,788,0,0,0,0,2
40,40,1317,0,0,0,1,0
41,41,3020,0,0,0,0,1
56,56,5742,0,0,0,1,1
80,80,6289,0,1,0,0,0
107,107,1028,1,0,0,1,1
114,114,2319,0,1,0,1,0
130,130,468,1,0,0,0,1
10020,10020,2239,1,0,0,3,0
10025,10025,322,1,0,0,0,1
10208,10208,1718,2,0,0,2,0
10218,10218,942,4,0,1,0,0
10222,10222,2152,3,1,0,0,1
10411,10411,700,1,1,0,1,2
10414,10414,753,1,0,0,0,2
10417,10417,2147,1,0,0,1,1
10428,10428,3127,0,0,0,3,0
7053,7053,1297,2,1,1,0,0
7205,7205,81,1,0,0,0,1
7217,7217,302,1,0,0,0,1
7227,7227,3536,1,0,0,1,2
7405,7405,1301,1,0,1,1,1
7422,7422,162,1,1,0,0,0
7425,7425,1053,1,0,0,0,1
7601,7601,633,3,0,0,0,1
7603,7603,518,2,0,0,1,1
7801,7801,1520,2,0,0,0,1
18822,18822,2418,10,0,0,0,5
18827,18827,1367,2,0,0,1,1
18832,18832,347,3,0,0,0,2
19001,19001,328,1,0,0,0,1
19005,19005,715,1,0,1,0,2
20007,20007,358,2,0,0,0,3
20025,20025,1021,2,0,0,0,2
131,131,2869,1,0,0,3,4
136,136,2303,4,0,1,0,0
140,140,652,1,0,0,0,1
422,422,300,1,0,0,0,2
435,435,351,0,0,0,0,1
610,610,358,1,0,0,0,3
621,621,2963,1,0,1,2,1
622,622,824,0,1,0,1,2
820,820,358,1,0,0,0,1
825,825,568,1,0,0,1,2
830,830,161,0,0,0,0,1
833,833,142,0,0,0,1,0
835,835,294,1,0,0,0,1
846,846,1667,1,0,1,3,3
1008,1008,366,0,0,0,0,1
1009,1009,188,2,0,0,0,1
1018,1018,7750,0,0,0,3,0
1035,1035,1332,0,0,0,0,3
1225,1225,393,0,0,0,0,2
1423,1423,452,1,0,0,0,1
1424,1424,2152,0,0,1,0,0
1428,1428,557,0,0,0,0,1
10629,10629,501,1,0,1,0,0
11001,11001,626,0,0,0,0,1
11007,11007,1146,2,1,0,1,1
11018,11018,135,1,0,0,0,1
11423,11423,970,4,0,0,1,1
11427,11427,247,2,0,0,1,0
11602,11602,1410,2,0,0,0,1
7814,7814,1110,1,0,0,0,2
7825,7825,974,1,0,0,2,2
7827,7827,231,1,0,0,0,1
8009,8009,2822,1,0,1,0,2
8202,8202,974,2,0,0,0,1
20072,20072,180,1,0,0,0,3
20089,20089,396,0,0,0,1,1
20210,20210,2008,1,0,0,3,2
20217,20217,417,1,0,0,0,3
20218,20218,658,0,0,0,1,0
1434,1434,598,1,0,0,1,1
1602,1602,604,1,0,0,0,1
1604,1604,345,0,0,0,1,1
1617,1617,83,0,0,0,1,0
2011,2011,798,1,0,0,2,0
2014,2014,331,1,0,0,0,1
2016,2016,1775,1,1,0,0,2
2022,2022,185,0,0,0,1,0
2401,2401,448,1,0,0,0,1
2403,2403,233,1,0,0,0,2
2436,2436,1490,1,1,1,1,0
2438,2438,455,1,1,0,0,1
2442,2442,287,1,0,0,0,1
2601,2601,345,0,0,0,1,2
2602,2602,324,1,0,0,0,1
11618,11618,504,2,1,0,0,0
11628,11628,1287,1,0,1,0,0
11643,11643,2156,3,0,0,0,2
11803,11803,536,1,0,0,0,1
11821,11821,1435,3,0,1,2,0
11832,11832,191,1,0,0,1,0
11838,11838,1840,1,0,0,2,4
11840,11840,1780,1,0,0,1,0
12008,12008,2123,1,0,0,0,1
12010,12010,1365,1,0,1,1,1
12221,12221,312,1,1,0,1,0
12225,12225,316,1,0,0,0,2
12229,12229,901,1,0,0,0,3
12241,12241,616,2,0,1,1,0
22218,22218,2981,1,0,1,2,1
22249,22249,827,2,0,0,2,1
22251,22251,2743,1,0,0,1,3
22255,22255,2120,1,0,0,3,2
22257,22257,2343,2,0,0,3,4
22407,22407,1545,2,0,0,0,2
22413,22413,1965,1,0,0,0,1
22415,22415,401,2,1,0,0,0
22440,22440,243,3,0,0,0,2
7415,7415,151,1,1,0,0,1
7419,7419,114,1,0,0,1,0
7431,7431,849,1,0,0,2,3
7808,7808,1884,0,0,0,1,0
8006,8006,555,0,0,0,1,0
8017,8017,773,1,0,0,0,2
20004,20004,574,1,0,0,2,0
20006,20006,1001,1,0,0,0,1
20018,20018,1149,0,0,2,2,3
20026,20026,844,2,0,0,0,2
20034,20034,229,1,0,0,0,1
20041,20041,266,1,0,0,0,2
20047,20047,945,1,0,1,1,1
20064,20064,359,2,0,0,0,1
20070,20070,524,0,0,0,0,2
20214,20214,600,2,1,0,0,0
20216,20216,846,2,1,1,0,0
20222,20222,2594,1,0,1,1,1
20242,20242,816,2,0,0,1,0
20279,20279,4011,1,1,1,1,1
20281,20281,985,0,0,2,0,0
20404,20404,283,1,0,0,0,1
20414,20414,1297,2,0,0,1,2
20442,20442,2138,1,0,0,0,4
20606,20606,378,2,0,0,0,1
20615,20615,3,0,0,0,0,1
20635,20635,353,1,1,0,0,2
20644,20644,1026,2,0,0,1,4
20647,20647,67,2,2,0,0,0
20657,20657,405,2,0,0,0,1
20833,20833,76,2,0,0,0,1
20839,20839,1703,1,0,0,1,3
22002,22002,521,1,0,2,0,0
22005,22005,402,1,0,0,3,1
22011,22011,539,0,0,0,1,0
22037,22037,450,2,0,0,0,1
20246,20246,315,1,0,0,0,1
20247,20247,2760,1,0,0,1,0
20262,20262,2766,1,0,0,1,0
20263,20263,371,1,0,0,0,1
20603,20603,177,2,0,0,0,1
22042,22042,493,1,0,0,0,1
22050,22050,1862,0,2,0,1,0
22058,22058,603,0,0,1,0,0
22068,22068,1855,1,0,0,0,1
22208,22208,278,2,1,0,0,0
22210,22210,266,2,0,0,0,2
22245,22245,855,1,0,0,1,1
22412,22412,499,2,0,0,0,2
22424,22424,693,2,0,0,0,2
22430,22430,625,0,0,1,0,1
22439,22439,669,2,0,0,0,1
22603,22603,1093,2,1,0,0,1
22627,22627,129,1,0,0,0,1
24011,24011,791,1,1,0,0,0
24018,24018,442,1,0,0,0,1
